,ds,absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,fresh_snow_12h:cm,fresh_snow_1h:cm,fresh_snow_24h:cm,fresh_snow_3h:cm,fresh_snow_6h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_5min:mm,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_density:kgm3,snow_depth:cm,snow_drift:idx,snow_melt_10min:mm,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,is_estimated,y,location
28634,2022-10-31 21:00:00,6.375,1.26675,9124.7,0.0,0.0,,1.0,277.125,0.0,0.0,0.0,0.0,20.375,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1011.75,0.0,0.0,999.125,1005.3,0.0,0.0,86.7,1011.475,,0.0,0.0,0.0,0.0,329.2685,-37.60275,0.0,280.85,40.375,39402.125,1.15,1,0.0,A
28574,2022-10-29 07:00:00,7.825,1.23325,1032.625,511.5,17.775,326.5,0.0,280.35,5.75,557.5,0.55,0.0,97.175,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1001.6,0.0,0.0,988.8,994.9,0.0,0.0,91.5,1000.9,,0.0,0.0,0.0,0.0,126.8545,2.2975001,0.32500002,281.55,97.175,18019.574,4.8,1,34.76,A
28611,2022-10-30 21:00:00,5.8,1.2625,2078.775,0.0,0.0,1831.0,0.0,275.9,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1009.4,0.0,0.0,996.65,1002.8,0.0,0.0,81.725,1009.0,,0.0,0.0,0.0,0.0,329.3505,-37.2825,0.22500001,279.75,100.0,46106.1,1.4,1,0.0,A
28626,2022-10-31 13:00:00,8.25,1.24,2379.2,472456.5,84.65,1689.575,0.0,281.15,33.9,186090.9,13.325,57510.6,70.325,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1010.0,0.0,0.0,997.225,1003.275,0.0,0.0,87.3,1009.375,,0.0,0.0,0.0,0.0,214.15375,7.90275,0.05,282.525,74.8,36582.4,0.85,1,247.5,A
28642,2022-11-01 05:00:00,5.8250003,1.27,10134.7,0.0,0.0,7682.925,1.0,275.9,0.0,0.0,0.0,0.0,47.95,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1010.775,0.0,0.0,998.0,1004.2,0.0,0.0,86.6,1010.4,,0.0,0.0,0.0,0.0,100.638504,-10.766,0.0,279.325,95.85,41773.676,2.2,1,0.0,A
28628,2022-10-31 15:00:00,7.45,1.25125,1637.6499,81652.2,0.375,1567.325,0.0,279.6,0.125,43230.2,0.0,27602.6,86.7,6.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1010.55,0.0,0.0,997.775,1003.925,0.0,0.0,89.15,1010.05,,0.0,0.0,0.0,0.0,241.6625,-1.98525,0.0,282.3,86.799995,38115.273,1.1,1,0.0,A
28592,2022-10-30 01:00:00,5.3,1.28175,,0.0,0.0,1105.1,0.0,274.375,0.0,0.0,0.0,0.0,8.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1014.3,0.0,0.0,1001.5,1007.7,0.0,0.0,81.45,1014.0,,0.0,0.0,0.0,0.0,41.97025,-34.70025,0.0,277.1,9.05,41502.7,2.025,1,0.0,A
28608,2022-10-30 18:00:00,5.775,1.27175,3055.3,0.0,0.0,2895.85,1.0,275.67502,0.0,0.0,0.0,0.0,52.125,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1009.775,0.0,0.0,997.15,1003.35,1.275,0.0,89.15,1009.57495,,0.0,0.0,0.0,0.0,282.03052,-21.204,0.0,279.9,52.25,38330.824,1.55,1,0.0,A
28738,2022-11-05 11:00:00,6.8,1.22325,,471720.1,134.125,881.6,0.0,278.45,64.4,225806.1,39.375,110369.9,57.5,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1001.05,0.0,0.0,988.35,994.325,0.0,0.0,65.85,1000.325,,0.0,0.0,0.0,0.0,184.818,10.7865,0.0,284.1,66.15,57737.67,3.45,1,302.28000000000003,A
28698,2022-11-03 17:00:00,6.5,1.235,5751.2,0.0,0.0,1474.5,0.0,277.7,0.0,0.0,0.0,0.0,75.025,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.7,0.0,0.0,988.275,994.275,0.0,0.0,66.875,1000.325,,0.0,0.0,0.0,0.0,267.762,-15.689,0.0,284.2,98.899994,55183.824,2.1,1,0.0,A
28769,2022-11-06 19:00:00,5.475,1.265,215.55,0.0,0.0,129.6,0.0,274.9,0.0,0.0,0.0,0.0,95.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.35,0.0,0.0,988.45,994.65,0.0,0.0,97.7,1000.825,,0.0,0.0,0.0,0.0,295.49152,-29.53675,0.0,277.5,95.8,7543.625,0.95,1,0.0,A
28703,2022-11-03 22:00:00,7.4,1.234,2981.45,0.0,0.0,2624.8,0.0,279.55,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.25,0.0,0.0,988.75,994.75,0.0,0.0,78.9,1000.8,,0.0,0.0,0.0,0.32500002,347.65274,-41.01,0.0,284.0,100.0,7736.4,2.2,1,0.0,A
28744,2022-11-05 17:00:00,7.225,1.2362499,1025.8,0.0,0.0,717.175,0.0,279.125,0.0,0.0,0.0,0.0,99.975,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.4,0.0,0.0,987.75,993.8,0.0,0.0,85.85,999.85,,0.0,0.0,0.0,0.1,267.45898,-16.23525,0.075,282.0,99.975,9611.1,1.3,1,0.0,A
28741,2022-11-05 14:00:00,7.0,1.232,5727.875,199854.9,15.325,1617.25,0.0,278.75,10.825,115759.8,2.475,85213.2,73.1,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1000.6,0.0,0.0,988.0,994.0,0.0,0.0,72.2,1000.0,,0.0,0.0,0.0,0.0,227.6025,2.0105,0.05,284.15,85.475,49867.875,1.5,1,20.24,A
28715,2022-11-04 11:00:00,7.275,1.2205,2367.65,491707.4,139.725,522.6,0.0,279.425,48.15,225689.4,3.15,22545.1,100.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1001.7,0.0,0.0,989.125,995.07495,0.0,0.0,67.125,1001.07495,,0.0,0.0,0.0,0.725,184.83499,11.09325,0.1,285.025,100.0,52670.477,4.125,1,385.44,A
28758,2022-11-06 08:00:00,5.95,1.2545,29.925,26658.4,40.925,846.9,0.0,276.15002,22.25,24857.0,14.15,12630.6,48.775,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.65,0.0,0.0,986.75,992.85,0.0,0.0,93.225,999.0,,0.0,0.0,0.0,0.0,141.48,4.71475,0.0,278.0,48.775,27088.05,1.0,1,281.82,A
28753,2022-11-06 02:00:00,5.725,1.25875,30.1,0.0,0.0,29.95,1.0,275.625,0.0,0.0,0.0,0.0,73.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.2,0.0,0.0,986.6,992.7,0.0,0.0,100.0,998.85,,0.0,0.0,0.0,0.0,59.180748,-31.58975,0.0,281.075,73.25,9028.975,0.975,1,0.0,A
28705,2022-11-04 00:00:00,7.6,1.229,2698.375,0.0,0.0,2244.35,0.0,279.95,0.0,0.0,0.0,0.0,99.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.55,0.0,0.0,988.025,994.025,0.0,0.0,76.8,1000.025,,0.0,0.0,0.0,0.1,24.76425,-39.923,0.0,284.375,99.925,49617.273,2.95,1,0.0,A
28740,2022-11-05 13:00:00,7.05,1.2260001,8081.45,374615.5,61.949997,1806.025,0.0,278.95,35.2,186401.2,27.875,152155.8,50.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1000.75,0.0,0.0,988.05,994.05,0.0,0.0,67.65,1000.07495,,0.0,0.0,0.0,0.0,213.75375,6.3775,0.0,284.425,73.875,55724.0,1.65,1,174.45999999999998,A
28717,2022-11-04 13:00:00,6.9,1.223,3223.55,393139.3,66.125,1319.25,0.0,278.7,28.95,128256.1,1.9,4090.3,100.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1001.55,0.0,0.0,988.975,994.95,0.0,0.0,65.95,1000.95,,0.0,0.0,0.0,0.2,213.83801,6.6730003,0.0,284.675,100.0,47349.55,3.6,1,118.14,A
28709,2022-11-04 04:00:00,7.55,1.22575,3156.2,0.0,0.0,1136.8,0.0,279.925,0.0,0.0,0.0,0.0,99.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,0.0,0.0,987.475,993.4,0.0,0.05,75.0,999.42505,,0.0,0.0,0.0,0.35,87.735,-18.283,0.0,284.95,100.0,20273.727,3.05,1,0.0,A
28756,2022-11-06 05:00:00,5.4,1.262,29.75,0.0,0.0,34.475,0.0,274.8,0.0,0.0,0.0,0.0,31.825,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.975,0.0,0.0,986.375,992.5,0.0,0.0,98.5,998.65,,0.0,0.0,0.0,0.0,101.353745,-12.1555,0.0,279.15,32.25,20346.0,0.525,1,0.0,A
28704,2022-11-03 23:00:00,7.625,1.23375,2466.95,0.0,0.0,1888.0,0.0,279.95,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.125,0.0,0.0,988.525,994.55,0.0,0.025,81.8,1000.6,,0.0,0.0,0.0,0.2,96.9665,-41.32425,0.075,283.7,100.0,8511.425,2.3,1,0.0,A
28770,2022-11-06 20:00:00,5.525,1.264,423.225,0.0,0.0,294.5,0.0,275.075,0.0,0.0,0.0,0.0,98.75,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.675,0.0,0.0,988.75,994.9,0.0,0.0,97.025,1001.1,,0.0,0.0,0.0,0.0,311.31323,-35.12525,0.0,277.15002,98.8,22657.525,0.75,1,0.0,A
28711,2022-11-04 06:00:00,7.4,1.226,5826.675,0.0,0.0,553.9,0.0,279.65,0.0,0.0,0.0,0.0,90.325,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.4,0.0,0.0,987.925,993.9,0.0,0.0,72.4,999.925,,0.0,0.0,0.0,0.0,114.26175,-5.2255,0.0,285.125,97.775,51836.4,3.025,1,0.0,A
28707,2022-11-04 02:00:00,7.525,1.228,3431.35,0.0,0.0,780.05005,0.0,279.84998,0.0,0.0,0.0,0.0,99.75,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.25,0.0,0.0,987.725,993.7,0.0,0.0,76.45,999.75,,0.0,0.0,0.0,0.125,58.91075,-31.025,0.0,284.6,100.0,41428.176,2.45,1,0.0,A
28681,2022-11-02 23:00:00,7.725,1.24375,898.45,0.0,0.0,737.44995,1.0,280.125,0.0,0.0,0.0,0.0,94.975,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1004.525,0.0,0.0,991.85,997.9,0.0,0.0,96.325,1004.0,,0.0,0.0,0.0,0.0,96.94075,-41.0095,0.0,281.6,94.975,31409.55,1.45,1,0.0,A
28771,2022-11-06 21:00:00,5.625,1.26325,735.275,0.0,0.0,273.95,0.0,275.325,0.0,0.0,0.0,0.0,98.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.825,0.0,0.0,988.95,995.1,0.0,0.0,94.924995,1001.3,,0.0,0.0,0.0,0.0,328.70126,-39.42775,0.0,277.1,98.0,33396.55,0.85,1,0.0,A
28719,2022-11-04 15:00:00,6.1499996,1.2275,2973.4,47394.2,0.0,1708.3251,0.0,276.95,0.0,26220.8,0.0,1183.8,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.3,0.0,0.0,988.75,994.75,0.0,0.0,61.85,1000.775,,0.0,0.0,0.0,0.22500001,241.161,-3.1515,0.0,283.7,100.0,54064.125,3.8,1,0.0,A
28688,2022-11-03 06:00:00,6.625,1.23675,6382.175,0.0,0.0,391.05,0.5,277.925,0.0,0.0,0.0,0.0,71.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.1,0.0,0.0,986.475,992.55,0.0,0.0,77.675,998.55,,0.0,0.0,0.0,0.0,114.13125,-4.943,0.0,282.3,98.95,49104.95,3.625,1,0.0,A
28726,2022-11-04 22:00:00,7.45,1.23325,848.675,0.0,0.0,1494.45,0.0,279.625,0.0,0.0,0.0,0.0,83.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.9,0.0,0.0,987.35,993.35,0.0,0.0,81.375,999.4,,0.0,0.0,0.0,0.0,347.6105,-41.319252,0.0,283.675,92.95,45507.85,4.025,1,0.0,A
28725,2022-11-04 21:00:00,7.55,1.2344999,3571.2998,0.0,0.0,681.0,0.0,279.8,0.0,0.0,0.0,0.0,93.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.1,0.0,0.0,987.475,993.475,0.0,0.0,84.9,999.55,,0.0,0.0,0.0,0.0,328.905,-38.839,0.0,283.1,99.649994,43334.65,3.725,1,0.0,A
28757,2022-11-06 06:00:00,5.55,1.2605,29.8,0.0,0.0,46.1,0.0,275.15,0.0,0.0,0.0,0.0,34.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.05,0.0,0.0,986.35,992.5,0.0,0.0,97.725,998.65,,0.0,0.0,0.0,0.0,114.50925,-5.784,0.0,278.375,35.05,22650.6,0.55,1,0.0,A
28694,2022-11-03 13:00:00,6.6,1.2195001,481.1,412198.0,70.475,230.9,0.0,278.1,38.45,200321.2,26.775,113518.6,57.725002,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.025,0.0,0.0,986.4,992.35,0.0,0.0,61.45,998.35,,0.0,0.0,0.0,0.0,213.91975,6.9735003,0.0,284.9,57.725002,58156.95,4.3500004,1,978.78,A
28706,2022-11-04 01:00:00,7.6,1.22825,3266.05,0.0,0.0,1572.2749,0.0,279.95,0.0,0.0,0.0,0.0,99.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.375,0.0,0.0,987.85,993.825,0.0,0.0,77.025,999.85,,0.0,0.0,0.0,0.1,42.6075,-36.2095,0.0,284.4,99.9,50102.273,2.625,1,0.0,A
28775,2022-11-07 01:00:00,5.3250003,1.267,70.875,0.0,0.0,90.6,0.0,274.575,0.0,0.0,0.0,0.0,84.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1002.225,0.0,0.0,989.4,995.575,0.0,0.0,97.45,1001.775,,0.0,0.0,0.0,0.0,42.9355,-37.079002,0.0,277.0,84.4,10265.725,1.5,1,0.0,A
